k2time,count,eflux,filt,upperlimit,time,flux
3262.489902,3001.553609,29.569024,kepler,F,58094.989902,-33.7007363600014
3262.510336,3009.294207,29.577189,kepler,F,58095.010336,-25.9601383600016
3262.530769,3026.689549,29.596863,kepler,F,58095.030769,-8.56479636000131
3262.551203,3000.829563,29.593236,kepler,F,58095.051203,-34.4247823600017
3262.612504,3014.345286,29.632239,kepler,F,58095.112504,-20.9090593600013
3262.632937,3011.870357,29.635847,kepler,F,58095.132937,-23.3839883600017
3262.653371,3020.303828,29.630444,kepler,F,58095.153371,-14.9505173600014
3262.673804,2993.916743,29.598069,kepler,F,58095.173804,-41.3376023600013
3262.694238,3026.357637,29.614974,kepler,F,58095.194238,-8.89670836000141
3262.714672,3013.891498,29.588355,kepler,F,58095.214672,-21.3628473600015
3262.735105,3034.629832,29.629709,kepler,F,58095.235105,-0.624513360001401
3262.755539,3016.910641,29.583023,kepler,F,58095.255539,-18.3437043600015
3262.775973,3024.609371,29.564667,kepler,F,58095.275973,-10.6449743600015
3262.796406,3020.727388,29.548592,kepler,F,58095.296406,-14.5269573600017
3262.81684,3018.562312,29.508455,kepler,F,58095.31684,-16.6920333600015
3262.837273,2985.537783,29.416122,kepler,F,58095.337273,-49.7165623600013
3262.857707,3010.830677,29.42936,kepler,F,58095.357707,-24.4236683600016
3262.878141,3005.067637,29.426499,kepler,F,58095.378141,-30.1867083600014
3262.919008,2983.546587,29.388413,kepler,F,58095.419008,-51.7077583600017
3262.939441,3020.356262,29.409168,kepler,F,58095.439441,-14.8980833600017
3262.959875,3007.114988,29.393006,kepler,F,58095.459875,-28.1393573600017
3262.980309,2994.361365,29.386387,kepler,F,58095.480309,-40.8929803600013
3263.000742,3013.264042,29.426274,kepler,F,58095.500742,-21.9903033600017
3263.021176,3025.550318,29.470747,kepler,F,58095.521176,-9.70402736000142
3263.041609,3009.928353,29.457791,kepler,F,58095.541609,-25.3259923600017
3263.062043,3011.189727,29.449258,kepler,F,58095.562043,-24.0646183600015
3263.082477,3003.894861,29.40617,kepler,F,58095.582477,-31.3594843600013
3263.10291,2990.688554,29.387492,kepler,F,58095.60291,-44.5657913600016
3263.123344,3003.558803,29.383889,kepler,F,58095.623344,-31.6955423600016
3263.143777,2989.34995,29.315073,kepler,F,58095.643777,-45.9043953600017
3263.164211,3014.330152,29.316837,kepler,F,58095.664211,-20.9241933600015
3263.184645,3009.458505,29.3019,kepler,F,58095.684645,-25.7958403600014
3263.205078,3005.456203,29.292384,kepler,F,58095.705078,-29.7981423600013
3263.225512,3001.370649,29.314776,kepler,F,58095.725512,-33.8836963600015
3263.286813,3012.222225,29.568271,kepler,F,58095.786813,-23.0321203600015
3263.307246,3008.259802,29.572029,kepler,F,58095.807246,-26.9945433600014
3263.32768,3016.823251,29.57172,kepler,F,58095.82768,-18.4310943600017
3263.348113,3001.816474,29.564062,kepler,F,58095.848113,-33.4378713600013
3263.368547,3020.250392,29.551195,kepler,F,58095.868547,-15.0039533600016
3263.409414,3024.382769,29.540811,kepler,F,58095.909414,-10.8715763600017
3263.429848,3016.197503,29.531991,kepler,F,58095.929848,-19.0568423600016
3263.470715,2983.523356,29.481551,kepler,F,58095.970715,-51.7309893600013
3263.491149,2994.606052,29.472678,kepler,F,58095.991149,-40.6482933600014
3263.511582,3006.612958,29.481328,kepler,F,58096.011582,-28.6413873600013
3263.532016,3017.296644,29.486489,kepler,F,58096.032016,-17.9577013600015
3263.552449,3010.488309,29.474036,kepler,F,58096.052449,-24.7660363600016
3263.572883,3017.652156,29.473941,kepler,F,58096.072883,-17.6021893600014
3263.593317,3012.793984,29.468878,kepler,F,58096.093317,-22.4603613600016
3263.61375,3001.425463,29.456066,kepler,F,58096.11375,-33.8288823600014
3263.634184,3018.794068,29.460802,kepler,F,58096.134184,-16.4602773600013
3263.654617,3021.201747,29.450092,kepler,F,58096.154617,-14.0525983600014
3263.675051,3004.060711,29.434473,kepler,F,58096.175051,-31.1936343600014
3263.695485,3031.092211,29.444847,kepler,F,58096.195485,-4.16213436000135
3263.715918,3039.243364,29.444778,kepler,F,58096.215918,3.98901863999845
3263.736352,3004.294264,29.409141,kepler,F,58096.236352,-30.9600813600014
3263.756785,2982.440413,29.391224,kepler,F,58096.256785,-52.8139323600017
3263.777219,3029.490985,29.411396,kepler,F,58096.277219,-5.76336036000157
3263.797653,3023.592073,29.38688,kepler,F,58096.297653,-11.6622723600017
3263.818086,3038.992293,29.379449,kepler,F,58096.318086,3.73794763999831
3263.83852,3026.781346,29.368105,kepler,F,58096.33852,-8.47299936000127
3263.858954,3035.375325,29.365458,kepler,F,58096.358954,0.120979639998495
3263.899821,3018.78109,29.340194,kepler,F,58096.399821,-16.4732553600015
3263.920254,3025.272624,29.350446,kepler,F,58096.420254,-9.9817213600013
3263.940688,3013.894168,29.347025,kepler,F,58096.440688,-21.3601773600017
3263.961122,3017.502521,29.356721,kepler,F,58096.461122,-17.7518243600016
3263.981555,3030.974536,29.362128,kepler,F,58096.481555,-4.27980936000131
3264.022422,3029.406501,29.365996,kepler,F,58096.522422,-5.84784436000155
3264.042856,3030.339954,29.375253,kepler,F,58096.542856,-4.91439136000145
3264.06329,3034.074439,29.362632,kepler,F,58096.56329,-1.1799063600015
3264.083723,3019.016279,29.350391,kepler,F,58096.583723,-16.2380663600015
3264.145024,3009.347394,29.325713,kepler,F,58096.645024,-25.9069513600016
3264.165458,3001.232772,29.314352,kepler,F,58096.665458,-34.0215733600016
3264.185891,3016.406383,29.335127,kepler,F,58096.685891,-18.8479623600015
3264.206325,3002.731961,29.351354,kepler,F,58096.706325,-32.5223843600015
3264.226758,2989.531924,29.351821,kepler,F,58096.726758,-45.7224213600016
3264.247192,2997.337632,29.365499,kepler,F,58096.747192,-37.9167133600013
3264.267626,3012.012581,29.37158,kepler,F,58096.767626,-23.2417643600015
3264.288059,3011.899196,29.357032,kepler,F,58096.788059,-23.3551493600016
3264.308493,3035.372451,29.345263,kepler,F,58096.808493,0.118105639998703
3264.328926,2999.362251,29.302397,kepler,F,58096.828926,-35.8920943600015
3264.34936,3021.007485,29.30085,kepler,F,58096.84936,-14.2468603600014
