time,magnitude,e_magnitude,upperlimit,band,flux,eflux,
55713.82,13.54,0.03,F,V,-2.82904666087281,0.000961595273264,#VALUE!
55713.85,13.52,0.03,F,V,-2.82744172901404,0.000963017751479,
55715.5584,14.977,0.058,F,V,-2.9385620744758,0.001680710422648,
55715.563,15.961,0.079,F,UVM2,-3.0076502439899,0.002148111020613,
55715.5739,15.428,0.069,F,UVW1,-2.97077407548501,0.001941016333938,
55715.5775,14.927,0.056,F,U,-2.93493133204491,0.001628190527233,
55715.5799,15.355,0.055,F,B,-2.96562455194772,0.001554542494302,
55715.5825,16.27,0.094,F,UVW2,-3.02846888234215,0.002507437000615,
55715.7,15.379,0.014,F,B,-2.96732024233692,0.000395084205735,
55715.7,14.461,0.014,F,I,-2.90049581529142,0.000420164580596,
55715.7,14.576,0.019,F,R,-2.90909589907231,0.000565724478595,
55715.7,15.051,0.024,F,U,-2.94391338936853,0.000692047040064,
55715.7,14.924,0.016,F,V,-2.93471310092198,0.000465290806754,
55716.2253,14.893,0.057,F,V,-2.93245547376467,0.001661048814879,
55716.2302,16.168,0.086,F,UVM2,-3.02164075126812,0.002308510638298,
55716.2437,15.573,0.071,F,UVW1,-2.98093070899628,0.001978681050536,
55716.2465,15.069,0.059,F,U,-2.94521108219803,0.001699250116132,
55716.2484,15.319,0.055,F,B,-2.96307604041891,0.00155819570468,
55716.2504,16.525,0.102,F,UVW2,-3.04535367039419,0.002678850226929,
55717.3157,14.599,0.06,F,V,-2.91080777142074,0.00178368381396,
55717.3173,15.095,0.064,F,U,-2.94708279339779,0.001840079496522,
55717.3188,15.072,0.053,F,B,-2.945427213622,0.00152614118896,
55717.423,16.819,0.121,F,UVW2,-3.06450042642636,0.003122302158273,
55717.4241,16.543,0.105,F,UVM2,-3.04653567436274,0.00275463942453,
55717.4252,15.794,0.082,F,UVW1,-2.99623033419261,0.002253260731924,
55717.4317,16.845,0.127,F,UVW2,-3.06617753829285,0.003272068863164,
55717.72,14.972,0.004,F,B,-2.93819954610596,0.000115949772909,
55717.72,14.054,0.023,F,I,-2.869499873003,0.000710260424079,
55717.72,14.025,0.017,F,R,-2.8672571748205,0.000526060606061,
55717.72,14.821,0.013,F,U,-2.92719376818895,0.000380676067742,
55717.72,14.407,0.025,F,V,-2.89643389043064,0.000753106128965,
55718.586,15.862,0.076,F,UVW1,-3.00089486385409,0.002079435127979,
